Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number
La0.87Sr0.13MnO3,7,7 T,,3191,3591
La0.67Ba0.33Mn1-xNixO3 (x=0),2.12,5 T,,3192,2999
La0.67Ba0.33Mn1-xNixO3 (x=0.025),2.78,5 T,,3192,3000
La0.67Ba0.33Mn1-xNixO3 (x=0.075),1.78,5 T,302,3192,3001
CeIn2,,nan T,22,3193,460
LaFe11.5Si1.5-0%La,18.6,,,3194,4022
LaFe11.5Si1.5-10%La,19.66,,,3194,4023
LaFe11.5Si1.5-15%La,16.28,,,3194,4024
LaFe11.5Si1.5-5%La,21.48,,,3194,4025
La0.8Ca0.2-0MnO3,4.1,5.0 T,,3201,3614
Ni48Co2Mn38Sn12,32,,,3204,5376
La0.78Ag0.22MnO3 film,-2.22,1 T,,3205,3251
(REMIX)(0.67)Sr0.33MnO3,3.28,50 kOe,,3206,253
Gd65Fe25Zn10 (as-annealed),,2 T,288,3210,2013
Gd65Fe25Zn10 (as-spun),,2 T,288,3210,2014
La0.6Ca0.3Ag0.1MnO3,-8.67,5.0 T,,3211,3116
Al0.85+0.2Si0.15Fe2B2,-6,5 T,,3228,293
Al0.85+0.4Si0.15Fe2B2,-6,5 T,,3228,294
Gd,,,293,3230,1504
SrO/MgFe2O4,-132.5(J/mol K),nan T,,3233,6161
(La0.5Pr0.5)(1-x)PbxMnO3 x=0.1,,nan kOe,170,3235,136
(La0.5Pr0.5)(1-x)PbxMnO3 x=0.4,2.06,13.5 kOe,323,3235,137
(La0.5Pr0.5)(1-x)PbxMnO3 x=0.5,,nan kOe,336,3235,138
Pr5Co19Cx (x = 0),5.2,nan T,,3236,5946
PrCo3-0.6Cu0.6,0.91,4 T,170,3238,5967
PrCo3-0Cu0,1.39,4 T,333,3238,5968
NaGdF4 NCs,50.5,60 kOe,,3243,4764
Ni45Co5Mn36.1Cr0.4In13.5,37.1,3 T,,3244,5277
La(Fe0.88Co0.12)11.4Al1.6,-5,5.0 T,360,3247,2620
La(Fe0.88Co0.12)11.4Si1.6,-18 to -5,nan T,360,3247,2621
La(Fe0.92Co0.08)11.4Al1.6,-5,5.0 T,360,3247,2632
La(Fe0.92Co0.08)11.4Si1.6,-18 to -5,nan T,360,3247,2633
La(Fe0.96Co0.04)11.4Al1.6,-5,5.0 T,360,3247,2644
La(Fe0.96Co0.04)11.4Si1.6,-18 to -5,nan T,360,3247,2645
LaFe11.4Al1.6,13,nan T,11,3247,3970
MnFe(0.91)Ni(0.04)P(0.45)Si(0.55),15.32,2 T,,3250,4698
MnFe0.95-xNixP0.5-ySi0.5+y,8.65-17.22,2 T,,3250,4707
Ni50Mn19.5Ga25Cu5.5,-36,5.0 T,,3251,5455
Mn1.1Fe0.9P0.6Si0.25Ge0.15,22.2,9 T,,3252,4396
Mn1.2Fe0.8P0.6Si0.25Ge0.15,14.9,9 T,,3252,4432
Mn1.3Fe0.7P0.6Si0.25Ge0.15,8.9,9 T,,3252,4445
MnFeP0.6Si0.25Ge0.15,22.4,9 T,,3252,4723
Pr0.65Ca0.25Ba0.1MnO3,4.4,5 T,85,3255,5763
Ho0.2Tb0.8Co2,6.8,5 T,211,3257,2281
Ho0.4Tb0.6Co2,9.4,5 T,149,3257,2284
Ho0.9Tb0.1Co2,15,5 T,97,3257,2298
CoCeFeO4,0.463,5 T,630,3258,539
MnCeFeO4,0.404,5 T,640,3258,4653
Ni52Mn31.5In16.5,22.3,1.5 T,,3259,5562
(Gd0.25Y0.75)2NiSi3,19.3,7 T,,3262,68
(Gd0.5Y0.5)2NiSi3,14.8,7 T,,3262,70
(Gd0.75Y0.25)2NiSi3,9.8,7 T,,3262,77
Gd56Ge20Si22Co2,2.92,,,3263,1894
Gd56Ge20Si22Cr2,2.95,,308,3263,1895
Gd56Ge20Si22Ti2,2.73,,,3263,1896
Gd58Ge20Si22,15.07,,268,3263,1899
Pr0.55Sr0.45MnO3,,nan T,291,3266,5695
Eu2NiMnO6,3.2,5 T,143,3267,1098
Gd2NiMnO6,3.8,5 T,130,3267,1748
Tb2NiMnO6,3.5,5 T,112,3267,6225
Ni48Mn39Sn13 Si-1,5.13 (at 0 kbar) and 24.5 (at 9.7 kbar),nan T,,3272,5397
Gd,3.1,1 T,,3273,1505
LaFe13-x-yCoxSiy (x=0.86 y=1.08),6.2,1 T,276-288,3273,4128
LaFe13-x-yCoxSiy (x=0.94 y=1.01),5.1,1 T,276-288,3273,4129
LaFe13-x-yCoxSiy (x=0.97 y=1.07),5,1 T,276-288,3273,4130
Gd100-xCox (x=44),2.64,20 kOe,,3276,1672
Gd100-xCox (x=56),1.27,20 kOe,,3276,1673
La0.5Pr0.5Fe11.4Si1.6 (30 m/s),18.1,0-5 T,,3277,2828
La0.5Pr0.5Fe11.4Si1.6 hydride,17.9,0-5 T, N/A,3277,2829
LaFe11.7Si1.3C0,,nan T,194,3280,4095
LaFe11.7Si1.3C0.06,27.5,0-1.56 T,,3280,4096
LaFe11.7Si1.3C0.50,,nan T,225,3280,4100
La0.7Ca0.3Mn0.9Co0.1O3,1.45,nan kOe,188,3282,3351
NdPdIn,,,34.3,3283,4959
PrPdIn,,,11.2,3283,5983
CM1 (y=0.25),227.5,5 T,300,3284,402
CM2 (y=0.5),270,5 T,300,3284,403
CM3 (y=0.75),227.5,5 T,300,3284,404
La0.8Ca0.05K0.15MnO3,5.32,5 T,300,3284,3608
La0.8K0.2MnO3,4.37,5 T,300,3284,3679
Cr5Te8,-2,nan kOe,220,3285,593
La0.7Ca0.3-0.075K0.075MnO3,5,3 T,,3288,3327
La0.7Ca0.3-0.15K0.15MnO3,5,3 T,,3288,3330
La0.7Ca0.3-0.1K0.1MnO3,5,3 T,,3288,3331
La0.7Ca0.3-0K0MnO3,5,3 T,,3288,3332
Tb3Co,,2 T,70 (approximate value),3290,6230
Fe85Zr7B4Dy4,2.45,3 T,334,3292,1395
Gd2AgSi3,9.5,0-9 T,,3293,1709
HoGa,14.9,5 T,,3295,2485
TmGa,26.1,5 T,15,3295,6395
Pr0.67Ba0.22Sr0.11Mn0.85Fe0.15O3,0.83,5 T,,3297,5764
Pr0.67Ba0.22Sr0.11Mn0.95Fe0.05O3,1.9,5 T,,3297,5765
Pr0.67Ba0.22Sr0.11MnO3,4.72,5 T,,3297,5768
CrCl3,19,7 T,17,3298,598
La(FexSi1-x)13,-26,1 T,,3299,2667
La0.3Sm0.3Ca0.3MnO3,,nan T,109,3304,2714
La0.45Sm0.25Ca0.3MnO3,,nan T,142,3304,2727
La0.65Sm0.05Ca0.3MnO3,,nan T,182,3304,2955
La0.6Sm0.1Ca0.3MnO3,,nan T,166,3304,3164
La0.7Ca0.3MnO3,1.75,0.5 T,182,3304,3375
Er2O3,15.02,5 T,3.32,3305,935
DyCrO3,21,7 T,147.1 +/- 0.1,3306,812
ErNi2Mn,4.8,0 to 5 T,50,3307,1045
Gd3RuO7,,nan T,15,3308,1811
Pr3RuO7,,nan T,55,3308,5943
GdCrO3,57.5,14 T,169.28,3309,2112
Er4CoCd,20.4,0-5 T,,3310,951
La(0.6)Ca(0.4)Mn0.96Fe0.04O3,2.62,30.0 kOe,236,3311,2588
La(0.6)Ca(0.4)Mn0.98Fe0.02O3,,nan kOe,254,3311,2589
La(0.6)Ca(0.4)MnO3,5.74,30.0 kOe,260,3311,2590
La0.7Sr0.3-0.05K0.05MnO3,1.37,1 T,365,3320,3460
La0.7Sr0.3-0.15K0.15MnO3,1.2,1 T,337,3320,3461
Nd0.5Sr0.5MnO3,7.5,10 kOe,,3322,4823
Ni44Mn39In9B4,2.8,50 kOe,268,3323,5256
Ni45Mn39In10B3,4.8,50 kOe,200,3323,5302
Ni46Mn39In11B2,7.6,50 kOe,175,3323,5336
Ni47Mn39In12B1,14.7,50 kOe,240,3323,5354
Ni48Mn39In13,20.2,50 kOe,270,3323,5393
Pr0.67Ca0.33MnO3,-26.18,5 T,,3324,5773
Eu0.80La0.20TiO3,31.41,5 T,7.5,3325,1077
Eu0.99La0.01TiO3,23 (41.5),2 T,,3325,1081
CeMn2Ge2,,,360,3330,462
Magnetic PLGA microspheres,0.061,,325,3331,4236
La0.65Nd0.05Pb0.3MnO3,-2.03,9 kOe,,3332,2952
K-6[V15As6O42(H2O)],5.31,7.5 T,,3336,2551
K-6[V15As6O42(H2O)],4.12,7.95 T,,3336,2552
Ni48Mn39.5Sn12.5-0Al0,1.8,2.0 T,,3337,5389
Mn3Sn2,27(J/cm^3 K),5 T,,3339,4517
La0.6Ba0.2Sr0.2Mn1Fe0.00O3,2.43,5 T,349,3342,3096
La0.6Ba0.2Sr0.2Mn1Fe0.03O3,2.16,5 T,289,3342,3097
La0.6Ba0.2Sr0.2Mn1Fe0.06O3,1.65,5 T,249,3342,3098
Pr0.63Dy0.37-0.3Sr0.3MnO3 (1300C),,,200,3343,5759
Gd12Ni4.85-5Ga3.15-3,EN/A,nan kOe,140,3344,1682
GdNi4Ga,10.9,50.0 kOe,22,3344,2193
GdNiGa2,,nan kOe,22,3344,2209
Pr0.55Ca0.00Sr0.45MnO3,,nan T,290,3347,5686
Pr0.55Ca0.05Sr0.40MnO3,,nan T,270,3347,5687
Pr0.55Ca0.10Sr0.35MnO3,,nan T,260,3347,5688
Pr0.55Ca0.20Sr0.25MnO3,,nan T,245,3347,5689
La1.3Fe11.1Si1.4Ga0.5,,1 - 7 T,188 - 219,3348,3824
La1.3Fe11.3Si1.4Ga0.3,,1 - 7 T,188 - 219,3348,3825
La1.3Fe11.5Si1.4Ga0.1,,1 - 7 T,188 - 219,3348,3826
Er32Tm24Co24Al20,17,5 T,,3351,940
Ho5Sn3,-9.5,nan kOe,,3352,2401
Pr0.67Ba0.33MnO3,5.5,4 T,,3353,5770
TbScGe,-1.6,2 T,250,3356,6340
Y2Fe17 ribbon,1.89,10 kOe,,3357,6430
Gd3Fe5-0.25Cr0.25O12,-3.9,5 T,520,3358,1789
Gd3Fe5-0CrO12,-3.8,5 T,560,3358,1791
La0.65Ca0.3Ag0.05MnO3,5.16,5 T,254,3368,2929
La0.65Ca0.3K0.05MnO3,3.54,5 T,285,3368,2930
La0.65Ca0.3Na0.05MnO3,3,5 T,295,3368,2931
CoEr2,21,5 T,,3373,548
Gd5Si1.85Ge2.15,12.5,,253,3375,1925
Ni50Mn35Sn15,5.7,12.0 kOe,,3376,5511
Ni50Mn37Sn13,1.9,nan kOe,,3376,5536
Fe86Zr8B4Sm2,,,Close to room temperature,3377,1406
Fe88Zr7B3Co2,,,Close to room temperature,3377,1426
Gd(OH)SO4 (1),53.5,2 T,,3378,1550
Gd3Ga5O12 (GGG),38.4,3 T,,3378,1794
La0.7Ca0.3MnO3-21nm,2.56,6.0 T,,3380,3394
La0.7Ca0.3MnO3-43nm,2.68,6.0 T,,3380,3395
Eu8Ga12Si4Ge30,7.6,3 T,20,3382,1105
Eu8Ga16Ge26Si4,6.1,3 T,30,3382,1110
Ni54Mn14Ga27Fe5,2.8,2 T,,3383,5578
Gd45Dy20Fe20Al15,4.46,50 kOe,,3385,1825
Gd45Tb20Fe20Al15,5.57,50 kOe,,3385,1827
EuAuGe,7.6,nan T,33,3387,1120
Ho(Co0.95Si0.05)(2),,nan T,103,3388,2273
HoCo2,,nan T,77,3388,2435
Ni45Mn43CrSn11,33 to 16,nan T,,3390,5305
NdCu2Ge2,5.04,7 T,,3391,4923
PrCu2Ge2,5.36,7 T,,3391,5970
ZnFe2-xLaxO4 (x = 0.005),-0.8,5.0 T,,3392,6486
ZnFe2-xLaxO4 (x = 0.01),-0.9,5.0 T,,3392,6487
LaFe11.2Si1.8 microwires,6.2,20 kOe,,3393,3962
NaGdS2,54,5.0 T,,3395,4765
Er12Co7,10.2,nan T,,3398,903
Er6Ho6Co7,16.7,nan T,,3398,967
Mn3GaC,13.41,5.0 T,249,3400,4495
Gd60Co15Al25,9.73,5 T,100,3403,1974
CoMnGe0.95Ga0.05,-7.2 and -21.5,nan T,,3404,561
Gd-2(L)(2)(DMF)(4),26.3,7.0 T,,3405,1559
Gd3Co29Ge4B10,0.5,5.0 T,212,3406,1781
[Cu7Gd2(L1)(4)(HL1)(2)(piv)(4)(H2O)(MeOH)(3)] ,13.3,5 T,,3411,6511
[Cu7Gd2(L2)(4)(HL2)(2)(piv)(4)(MeOH)(5)] ,12.1,5 T,,3411,6512
LaFe11Al2,8.5,7 T,186,3419,4113
LaFe11Si2,10.8,7 T,236,3419,4122
NiMn0.89Cr0.11Ge,-51,9.0 T,,3420,5622
La0.7Ba0.3MnO3,-2.928,20 kOe,,3422,3283
DyNi,19,60 kOe,,3423,847
Pr0.46Sr0.54MnO3,9,7 T,,3431,5675
Nd0.5Ba0.5CoO3 (NBCO),,5 T,125,3432,4801
As-quenched sample,0.74,nan T,313,3433,340
Fe75Mo8Cu1B16 alloy,0.77,1.0 T,316,3433,1338
Nd0.5Sr0.5MnO3,,1.4 T,150,3436,4824
Nd0.7Sr0.3MnO3,3.82,1.4 T,203,3436,4839
Mn3.2Fe0.8Ga2Sn,12,2.4 T,411,3437,4477
Mn3.4Fe0.6Ga2Sn,12,2.4 T,,3437,4478
Mn3.6Fe0.4Ga2Sn,12,2.4 T,,3437,4480
Mn3.9Fe0.1Ga2Sn,12,2.4 T,,3437,4481
Mn4Ga2Sn,12,2.4 T,317,3437,4555
(Mn0.7Co0.3)(65)Sn-35 alloy,4.5,7 T,169,3439,198
Dy2CuSi3,183,nan kOe,,3440,720
Ho2CuSi3,28.3,nan kOe,,3440,2339
HoB2 (gas-atomized),0.34(J/cm^3 K),5 T,,3442,2423
HoNiGe3,-13.9,nan kOe,10.5,3446,2525
HoNiGe3,-2.5,nan kOe,10.5,3446,2526
HoNiGe3,-7.7,nan kOe,10.5,3446,2527
HoNiGe3,-12.3,nan kOe,10.5,3446,2528
La0.67Ba0.22Sr0.11MnO3,2.26,5 T,,3448,2982
Pr0.5Sr0.5Ag0.0MnO3,,nan T,268,3450,5738
Pr0.5Sr0.5Ag0.2MnO3,,nan T,305,3450,5739
Pr0.5Sr0.5Ag0.3MnO3,4.7,5.0 T,,3450,5740
Fe60V40 intermetallic,,nan kOe,170,3453,1282
Fe67Y33 ribbons,,,240,3456,1304
(La0.55Bi0.15)Ca0.3MnO3,1.1(J/mol K),9 T,230,3457,127
HT-TbTiGe,-4.3,5 T,300,3460,2253
HT-TbTiGe,-2,2 T,300,3460,2254
La0.6Ca0.4MnO3 (annealed at 600°C),0.13,1 T,,3461,3127
LaFe13-ySiyC0.2 (y=1.2),18.6,nan T,,3462,4136
LaFe13-ySiyC0.2 (y=1.4),15,nan T,,3462,4137
GLU-MCSB,-163.30(J/mol K),nan T,,3463,1487
MCSB,-175.64(J/mol K),nan T,,3463,4223
Tb65Ni35,8.7,5 T,-64,3467,6260
ErMn2Si2,25.2,5 T,,3468,1026
Pr0.5Sr0.5Mn0.98Co0.02O3,1.21,15 kOe,,3469,5744
Co(OH)2 Superstructures,13.4,5 T,,3470,477
Pr2Co7C0.25,,nan T,Increased from 600 K to 691 K,3471,5910
Ni45Mn43CoSn11, 24 - 42  ,,,3472,5303
La0.7Sr0.3Si0.05Mn0.95O3,0.83,,,3473,3529
La0.7Sr0.3Ti0.05Mn0.95O3,1.08,,314.7,3473,3530
LaFe11.7Si1.3C0.2H1.7,19,5.0 T,Around Room Temperature,3475,4097
La(Fe0.88Si0.12)13H0.0,,nan T,195,3476,2625
La(Fe0.88Si0.12)13H1.6,,nan T,330,3476,2626
GdFe12-3Cr,2.95,1.5 T,,3477,2136
Ni45Mn36Fe8Sn11,5.6,20 kOe,,3478,5298
Ni45Mn39Fe5Sn11,6.4,20 kOe,,3478,5301
Ni45Mn44-0Fe11,10.6,20 kOe,,3478,5307
Mn5Ge3,4.92,30 kOe,,3479,4618
Ni50Mn35In14.5B0.5,-2.6 (at MST) and 1.7 (at SOT) ,1.8 T,,3480,5495
Ni40Co10Mn38Sb12,68,nan T,,3482,5150
Ni43Co5Mn38Sb12,43,nan T,,3482,5197
Mn1.1Fe0.9P0.78Ge0.22,10,nan T,,3485,4404
Dysprosium,5.5,3 T,,3486,885
La0.7Sr0.25Na0.05Mn0.85Cu0.15O3,,nan kOe,305,3488,3445
La0.7Sr0.25Na0.05Mn0.8Cu0.2O3,,nan kOe,290,3488,3446
La0.7Sr0.25Na0.05Mn0.95Cu0.05O3,,nan kOe,345,3488,3449
La0.7Sr0.25Na0.05Mn0.9Cu0.1O3,1.75,20.0 kOe,325,3488,3450
Pr0.7(Ca0.5Sr0.5)0.3CoO3,Around 1,4.0 T,Up to 170,3489,5831
Pr0.7(Ca1-Sr1)0.3CoO3 (x = 1),,nan T,170,3489,5832
Pr0.7Ca0.3CoO3,,nan T,Below 70,3489,5848
Gd0.32Tb0.26Co0.20Al0.22,8.02,5 T,95,3490,1611
GdCrTiO5 nanoparticles,22 +/- 3,nan T,,3493,2122
Melt-spun HoCo2,-4.6,20 kOe,94,3494,4239
Melt-spun HoCo2,-9.5,50 kOe,94,3494,4240
NdMnO3,3.82,nan kOe,,3495,4953
Mn0.985CoGe1.015,20.1,0-5 T,,3498,4332
Mn0.98CoGe1.02,31.6,0-5 T,,3498,4338
Mn1.03CoGe0.97,9.13,0-5 T,,3498,4369
Pr0.7Ca0.3 0.3Sr0.3,3,nan kOe,260,3499,5847
SmCo1.8Fe0.2,0.20/0.28,1.5 T,300,3503,6075
SmCo2,3.61,1.5 T,220,3503,6076
La2MnNiO6 (ordered),,nan T,280,3504,3889
La(Fe0.90Si0.10)13H-1.1,-31,5 T,287,3510,2629
La0.85Te0.15MnO3,2.94,5 T,,3513,3587
CdCr2S4,7.04,5 T,87,3515,422
GdCrWO6,9.22,70.0 kOe,28-32,3516,2123
TbCrWO6,,nan kOe,28-32,3516,6288
Mn5Ge2.9Ag0.1,,nan T,295.1,3517,4614
Mn5Ge3,,nan T,299.8,3517,4619
Co2CrAl,2.55,Up to 5 T,328.5,3521,506
Co50Ni5Cr25Al25,,nan T,328.64,3521,524
Co50Ni5Cr25Al25,,nan T,285.71,3521,525
La0.8Ce0.2(Fe0.95Co0.05)(1.18)Si-1.2/Cu, N/A,2 T,249,3524,3642
Er(Fe0.7Mn0.1Co0.2)2,,,555,3528,888
Er(Fe0.7Mn0.2Co0.1)2,,,475,3528,889
Er(Fe0.8Mn0.1Co0.1)2,,,550,3528,890
NiMnCuGa,6.25,,,3531,5626
Stacked Alloys,Over 25,,,3531,6165
Tb(Co0.94Fe0.06)(2),4.3,5 T,304,3534,6170
La0.6Pr0.1Ba0.3Mn0.9Fe0.1O3,,,277,3536,3145
La0.6Pr0.1Ba0.3MnO3,,,94,3536,3149
(Ni51.5Mn33In15.5)(99.7)B-0.3,20,,,3538,242
Dy(Fe0.01Co0.99),up to 1.2,1.0 T,140-210,3541,670
Dy(Fe0.03Co0.97),1.2,1.0 T,140-210,3541,671
Gd(Rh0.30Co0.70)2,1,1.0 T,200-350,3541,1551
Gd(HCO2)(C2O4),55.97,0-5 T,,3542,1542
Gd-5(Si0.5Ge0.5)3Ga,,0-10 T,290,3545,1569
Gd-5(Si0.5Ge0.5)4,,0-10 T,275,3545,1570
Ni43Mn46In11 quenched ribbon,6.79,50 kOe,,3546,5222
Pr0.7Ca0.3Mn0.9Co0.1O3,3.2,5 T,118,3548,5863
Pr0.7Ca0.3Mn0.9Cr0.1O3,2.37,5 T,150,3548,5864
Pr0.7Ca0.3Mn0.9Fe0.1O3,2.1,5 T,80,3548,5865
Pr0.7Ca0.3Mn0.9Ni0.1O3,2.94,5 T,116,3548,5866
Eu8Ga11.5Ge34.5,7,3.0 T,20,3549,1104
Eu8Ga14Ge32,6,3.0 T,34.7,3549,1106
ErCoSi2,7.1,nan kOe,6.9,3550,997
TmCoSi2,8.7,nan kOe,5.4,3550,6383
Ho5Ni2Te2,-10.0 to -9.4,nan kOe,,3551,2394
ErCr2Si2,24.1,2 T,,3553,999
Ni0.4Mg0.3Cu0.3Fe2O4,1.56,5 T,690,3554,5032
La0.75Sr0.25Mn0.80Cr0.20O-3,,,253,3557,3237
La0.75Sr0.25Mn0.85Cr0.15O-3,4.2,,314,3557,3238
La0.8Ca0.2Mn0.01Fe0.99O3,4.32,5 T,217,3560,3619
La0.8Ca0.2Mn0.15Fe0.85O3,1.6,5 T,134,3560,3620
La0.8Ca0.2Mn0.2Fe0.8O3,0.54,5 T,70,3560,3621
La0.8Ca0.2MnO3 (LCM),4.42,5 T,223,3560,3636
ErCoC2,17.2,nan T,14,3561,996
HoCoC2,15.6,nan T,11,3561,2445
Dy2Co2Al,10.4,0-5 T,62,3562,704
Er2Co2Al,5.9,0-5 T,32,3562,913
Er2Ni2Al,16.2,0-5 T,12.5,3562,930
Ho2Co2Al,11.5,0-5 T,27or32,3562,2322
Ho2Ni2Al,6,0-5 T,19,3562,2351
Tm2Co2Al,7.7,0-5 T,11.5,3562,6359
Ni-Cu,,,200-380,3563,4997
Ni-Ga,,,200-380,3563,5000
Ni-Mo,,,200-380,3563,5026
Ni-V,,,200-380,3563,5027
(MnNiSi)(1-x)(FeNiGa)(x) (x = 0.16),-26.2,5 T,,3565,225
(MnNiSi)(1-x)(FeNiGa)(x) (x = 0.17),-63.2,5 T,,3565,226
Ho5Ge4,-27,140 kOe,,3566,2391
Ni48Co2Mn35In15,20.5,5.0 T,,3568,5374
Ni48Co2Mn35In15,-5.4,nan T,,3568,5375
Ni46-Cu4Mn37Sn13,5.4,12 kOe,,3572,5319
Ni50-Cu0Mn37Sn13,5.6,12 kOe,,3572,5422
CrSbSe3,2.2,4.5 T,71,3574,607
La0.8Ca0.0Na0.2MnO3,,5.0 T,330,3575,3610
La0.8Ca0.1Na0.1MnO3,,5.0 T,150,3575,3613
La0.8Ca0.2-xNaxMnO3,,nan T,105 for x=0,3575,3617
Gd-8,32.49,,,3576,1583
CoMnGe0.94Ga0.06B0.015,-27.1,7 T,,3577,559
CoMnGe0.95Ga0.05B0.015,-22.1,7 T,,3577,563
Ni2MnGa microwires,,"0.2,0.5 T",Above 195,3579,5099
Tm0.85Ho0.15Ga,18,nan T,,3580,6354
AlFe2B2,6.95,5 T,,3582,312
Gd2In,-3.25,3.0 T,194,3583,1736
Gd55Co20Fe5Al15Si5,6.82,nan T,,3584,1875
[Co(HOCH2CO2)(2)],6.20(J/mol K),,,3585,6503
Pr0.6Sr0.4MnO3 (Bi-doped),2,2 T,306,3589,5827
Pr0.6Sr0.4MnO3 (pristine),2.7,2 T,306,3589,5828
Yb0.8Sc0.2MnO3,1.87 +/- 0.31(J/mol K),10 T,90-94,3590,6445
Yb0.9Sc0.1MnO3,2.46 +/- 0.40(J/mol K),10 T,90-94,3590,6451
(Tm67Cu33)80Al20 amorphous alloy,13.4,5 T,4.4,3592,261
Er0.97Co2,,nan T,46,3594,899
ErCo2,,nan T,32,3594,988
Eu0.15Ca0.85MnO3,10,70 kOe,,3596,1071
Mg0.6Cu0.2Ni0.2Fe2O4,1.38,5 T,670,3597,4244
Mg0.6Cu0.4Fe2O4,1.09,5 T,630,3597,4245
La0.7Ca0.3Mn1-0.05Co0.05,4.8,15.0 kOe,215,3599,3361
La0.7Ca0.3Mn1-0Co0,5.9,15.0 kOe,270,3599,3362
MFMNABs,34.32,nan T,,3602,4224
La0.67Pb0.33Mn1-0.05Fe0.05O3,2.99,5 T,305,3604,3046
La0.67Pb0.33Mn1-0.10Fe0.10O3,2.58,5 T,210,3604,3047
La0.67Pb0.33Mn1-0FeO3,4.17,5 T,360,3604,3048
Ho2Co2Al,9.1,2 T,30,3606,2323
Ho2Co2Al,18.4,5 T,21,3606,2324
CeMn2Ge2 (10-hour ball-milled),-1.3,,,3607,463
CeMn2Ge2 (5-hour ball-milled),-2.45,,,3607,464
La0.57Sm0.10Pb0.13Ca0.2MnO3,,,256,3608,2774
La0.67Sm0.00Pb0.13Ca0.2MnO3,6.2,,298,3608,3050
Ho12Fe2.08In2.92,-6.14 to 7.88,0-7 T,,3609,2313
Gd3CoGe2,-4.9,nan T,150,3610,1784
LSMO-2.5 wt.% CuO,-3.95,,2nd order near RT,3612,2575
LSMO-5 wt.% CoO,,,2nd order near RT,3612,2576
La0.65Ce0.05Sr0.3Mn1-xCuxO3 (x=0.15),3.03,5 T,,3614,2934
La0.55Bi0.15Sr0.15Ca0.15MnO3,1.62,2 T,,3618,2752
La0.65Bi0.05Sr0.15Ca0.15MnO3,1.32,2 T,,3618,2899
La0.6Bi0.1Sr0.15Ca0.15MnO3,2.16,2 T,,3618,3102
Pr0.7Ca0.3Mn0.95Co0.05O3,3.1,5 T,,3619,5855
Pr0.7Ca0.3Mn0.95Cr0.05O3,2.92,5 T,,3619,5856
Pr0.7Ca0.3Mn0.95Fe0.05O3,2.38,5 T,,3619,5857
Pr0.7Ca0.3Mn0.95Ni0.05O3,2.96,5 T,,3619,5858
Fe75Ni15Zr10,,nan kOe,403,3620,1339
Fe85Ni5Zr10,"1.03, 1.9, 3.26","10, 20, 40 kOe",306,3620,1392
Fe90Ni0Zr10,"0.87, 1.76, 3.04","10, 20, 40 kOe",245,3620,1439
LiSm(PO3)(4),3.6,50 kOe,,3621,4202
Gd,14.2,,,3622,1506
CrO2,2.83,1.5 T,,3628,602
La0.7Ca0.2Sr0.1MnO3,4.11,18 kOe,,3630,3317
Ni50Mn36Sn11Si3,1.3,50 kOe,,3632,5516
Ni50Mn36Sn12Si2,2.5,50 kOe,,3632,5518
Ni50Mn36Sn13Si1,3.4,50 kOe,,3632,5521
Tb6NiTe2,-4.86,5 T,,3635,6267
(Gd0.8Er0.2)3Ru,>6,5.0 T,8.1,3636,81
(Gd0.95Er0.05)3Ru,>6,5.0 T,52,3636,84
(Gd0.9Er0.1)3Ru,>6,5.0 T,29,3636,87
Dy5CoBi2,-6.2,5.0 T,34,3639,761
Ho5PdBi2,,nan T,"38, 18",3639,2396
Ho5PdSb2,,nan T,42,3639,2397
Ho5RhBi2,,nan T,28,3639,2398
Ho5RhSb2,,nan T,"38, 18",3639,2399
Gd83Cu9Al8 MG,9.7,5 T,,3640,2072
La0.80-0.05Ca0.20Sr0.05MnO3,1.33,1.92 T,264,3645,3555
La0.80-0.08Ca0.20Sr0.08MnO3,1.48,1.92 T,310,3645,3556
La0.80-0.10Ca0.20Sr0.10MnO3,1.51,1.92 T,,3645,3557
MnCoGe (x = 0.01),18.3(2),5 T,353.4(6),3646,4681
Ni49BiMn35In15 Heusler alloy,5.5,5 T,,3648,5408
HoCr0.25Fe0.75O3,10.94,9 T,,3650,2452
HoCr0.75Fe0.25O3,10.32,9 T,,3650,2454
Dy(Co1-0.1Ni0.1)2,,5 T,92-143,3651,660
KCrP2O7,4.4,nan kOe,8.5,3659,2555
MnCoGe0.5Si0.5,4.4,5.0 T,374,3660,4682
Pr2Fe17 (ball-milled),3.7,5 T,292,3666,5923
Pr2Fe17 (bulk),5.7,5 T,285,3666,5924
GdGa1-xAlx (x=0.0),,nan T,183,3667,2156
GdGa1-xAlx (x=0.1),2.41,1.5 T,,3667,2157
GdGa1-xAlx (x=0.2),2.44,1.5 T,,3667,2158
GdGa1-xAlx (x=0.3),2.51,1.5 T,,3667,2159
La(Fe0.88Al0.12)13C-0.2,9.6,5 T,,3671,2617
La(Fe0.88Al0.12)13C-0.6,8.3,5 T,,3671,2618
La0.8Sr0.05Ca0.15MnO3,1.01,12.0 kOe,,3672,3720
La0.8Sr0.15Ca0.05MnO3,-1.57,12.0 kOe,,3672,3721
AgCrO2,0.067,70 kOe,21,3673,288
(La0.57Dy0.1)Sr0.33MnO3,,Up to 5 T,358,3674,131
LaFe11.2Co0.3Mn0.4Si1.1,12,5 T,,3677,3947
LaFe11.2Co0.7Si1.1,12,5 T,,3677,3950
